text,name
"F PROBABILITY PLOTT ING IN SAS Daniel M. Chilko, West Virginia University Gerry Hobbs, West Virginia University E. James Harner, West Virginia University Intr'oduction EBr charts or histop.:rams are th~ simplest and most fr~quently used ~raphlcal representation of data. reveal many oroperties of t~e data They th .. ra~ge of ~~ta values, the number of modesl whether the distribution is symmetric or skewed, th~ existence of outliers. Although bar charts reveal the g~neral shape of the distribution, it Is sometimes difficult to determine w~ethp.r or not t~e data can ~e viewed as a sample from some hypothesl~ed distribution. ProbabilTty plots arp a ~raDhical reoresentation of data that focus on the dIstributional aspects of data. Bar charts are easy to f'troduce in SAS usin~ PROC CHART and PROC GCH~RT. Prohability plots are also easy to produce using SAS. Probability plots A random varlable, x, is characterized by its distribution function ~r e~ample; the graph of F{x) for a Normal Distribution Function 0.9 0.' 0.' o. , random .variable with a standard normal distribution is shown In Fi~ure 1. This ~raDh can he turned Into a stral~ht linp. hy transformi""~ the x axis to F(x) (hoth ax.es woulrl be probabll ities) or by transformln~ the ~(x) axIs to x (both a~es would he quantities). A samnle rl'istributTon functTon can be oroduced in SAS using PROC RANK with the PERCENT option and PROC PLOT. See Fip;:urF. 2. For data from symmetric distrihutions l this function is characterTstically S-sha~~~ and its point of inflection makes it difficult to work with. If the orobability axis ls transformed,. thp. plot is now a pro,"",ability plot. That is, a prob~bility olot scales the probability ~xis of a sample distribution function accor~in~ to some probabt, ity distribution such that, if W~ chosp. thp correct distribution, the resultin~ plot is ~orp or less a straight linp~ Sample Cumulative Distribution Function f'EHCE.HT 100 ., 00 70 • ""' • 50 I C.5 "" 0, • .0 0, , 20 0, z kO • 0.1 D",Sugi-81-02 Chilko Hobbs Harner.pdf
"COLOR GRAPHICS HARDWARE; REVIEW Morris L. S~it, Polaroid corporation One of the most talked about and written about Bubjects of 1980 in the computer industry was color. The emer­ gence of coler as a useful tool will continue in coming years. The use of color display terminals and color hard­ copy output will become commonplace. . As IBM states in one of their bro­ chures, color can Rrovide us with important ~nformat~on. This is a,suc~ cinct reason for color use and its benefits. The reasons, of course, can be expanded, but color is important if it provides information. VISUAL PERCEPTION It has been calculated on the basis of neurological measurements that about 38% of all human sensory input is delivered through the visual mechanism. We obvi­ ously uSe our visual mechanism to receive and recognize data, even graphi­ cal data, differentiating objects by their size, shape, texture, etc. On computer displays, we differentiate items by blinking~ underlining, font changes, reverse video, etc. It is natural then to add color to this visual input. WOrk by psychologists and others involved in perceptual experience into the proper use and psychological effects of color, indicate that color is a com­ mon experience descriptor. Similiar descriptors include shape, size, position r texture, - function I etc. Color is just Qne of the many descriptors we use to differentiate objects in our environment. While it is generally accepted that color images are more pleasing to the eye, are more rapidly understood, and are capable of providing more informa­ tion, there is an increasing need for more work to be done relating the use of color to business graphs and the decision making process. color leaves a lasting and definite impression reqardless of the accuracy of the data presented. A 1975 study by Richard E. Crist of the Department of Psychology at New Mexico State University concluded that color may be a very effective performance factor under some conditions, but that it can be de",Sugi-81-03 Samit.pdf
"THE ROLE OF SAS IN INFLUENCING MAJOR TRANSPORTATION DECISIONS FOR A LARGE PRIVATE EMPLOYER Robert E. StamDer, Jr. t Transportation Center~ The Un1v~rsity of ~ennesaee Introduction Ihis paper describes the valuable applica­ tions of t.he Statistical Analys.:ls- System (SAS) in relation to a ~ajor transportation atudy tor the Union Carbide Corporation-Nuclear Division (UCC-ND) of Oak Ridge, Tennessee. A recent study performed by the Transportation Center of The Un~versity of Tennessee with the a~sLstan.ce of The Computer Applications Division Q£ OeC-ND accomplished the following objectives~ l. 2. 3. Inventoried existing transit services within and bC!!tween three UCC-NO plants; Monitored the travel patte~ns of approximately L,lOO company vehicles for one month; and Recommended trans~t improvements and fleet management strategies to trans­ port employees more effectively and economically and to conserve energy. The computer analysis used to accomplish these objectives was performed entirely by SAS. Procedures such as GCHART, FREQ. MEANS. PLOT, and others were used to present simple statis­ tics,8nd detailed g~aphics which were concise and-informative for management. Through these techniques 1 SAB has proven to be an effective facilitator of applied research in the increas­ ingly important area of transportation for private industry, while also serving as an effective managerial tool for transportation de­ cisions. Applications of SAS/GRAPH are parti­ cularly informative to management since color slides from SAS/GRAFH simplify data analyses and presentations while vividly portraying transpor­ tation facts in a very dlscernable format~ Background Information Transportation and related energy problems are not confined merely to public agencies or 1ndividuals. Employers are faced wi~h increas­ ing pressures to transport ~erHonnel And mate­ rials efficiently and econamically. Providing these transportation services is further compli­ cated by the rising costs and reduced av",Sugi-81-04 Stammer.pdf
",' ~' A SI.S IIOIlTIlII! FIIK IIDDInDIC 1'111! 0IITPIJr 0""' PIIOC CIWIr to IlEET SPECIAL BRl'OIlT BEQtJI1Il!HEIIrS Vill~ TayloT. Bla.etTic lesearch ln8tl£u~e •. Ine. 1. Abstract. A large medical device clinical trial requires reports to the Food and Drug Administ1""ation (FDA) concerning th~ safety aDd efficacy of th~ device under study. Thsge reports are frequent and must be clearly docum.ented and titled to be easily reviewed by the staff. FROe CHART c.an display informat.ion both in tables and graphs. 'ntis feature lends itself well to satisfying medical device trial repo~tlng needs. The output from PIlOC CHART contains all necessary numeric: infonoation, although a different format was desired and mora labels were necessary. The output from the procedure Ws directed to a file using PR,{)C Pll.lNtTO. A SAS program. then read this file and modified the print linea, adding vertical labels, page numbers. bla.nking c,\lIIIulatlve percents and frequene.iea and repeats of group variable values, and adding a. percenta.ge scale at the top of the. bar chart. The modified output was printed usiug a Xerox 9700 laser prin~er creating an acceptable fonnat that could be directly entered into the report. The modification of the out-put into an acceptable 1;'epot""t forma.t saved t.i..me and reduced errors that would. have lIkely occurred 1f the Slame report had been manually prepared. This paper describes the program used to modify the. PROC CHART output. 2 • Ill. t-roduc t.100. To detemlne the safety and efficacy of medical devices. the Federal Investigational Device Exemption Regulations require a clinical trial invesl;.:lgation. FDA exalllinas the results of these clinical trials to approve the device for: general public uSe. Pending this approval ~ all pot.i-@ut.s who receive a medical device must be followed and report.ed on periodically as part of .8 clinical study. To expedite the approva.l process, the presentation of data and an.alyses to FDA mcuat be clear, concise, and",Sugi-81-05 Taylor.pdf
"A SAS program is given which determines from a set of points representing animal sight­ ings or locations, the boundary points of the animal's horne range l computes the area of this home range, and displays the home range plot. The determination of the boundary points, points which form the convex hull of the observations, and the computation of the enclosed area are accomplished within a macro (RANGE) using PROC MATRIX. Graphical representation of the obser­ vations and home range are produced using PROC GPLOT. Illustrative examples and program listings are presented.",Sugi-81-06 Hill Grimes Krasner.pdf
"SASGRAPH HADE. EASY - AN INTERACTIVE APPROACH Robert F. Kramer, FMC Go~P~1 Industrial Chemical Group Sumi Kobayashi, FMC Corp., Indu.trial Chemical Group The in13tallation of a new oof'tware package can be a diffioult task in any. organization. During the inotallation phase, many technical problems can arise. The problems can comp11- cat. the in.tallation, but eventually, the system i5 ready for use. It is at this point that an even greater problem surfaces: achieving user acceptanoe. The factors that affect user acc.eptance are varied and may differ from one organization to the next. Two factors that aid in achieving user aceptance involve establishing and maintain­ ing the interest level of the user, and offering a system that i. easy to use. During the past year, the interest in computer generated graphics has increased significantly, particularly with the financial, marketing, and sales departments. Graphics moe viewed as an effecti-ve method of visualizing and repre­ .enting information thst might otherwise be reviewed by reading through a voluminous report. Management views graphics as a viable way of analyzing results and trends in a manner far lese time consuming than that of reviewing large reports. With this in mind, establishing and maintaining the level of the user COfIEunity was not a problem. Rather, the opposite was the ca:se, users wanted the graphs immediately, if not 5OOner~ The second fector affecting user acceptanoe deals with the ease with which a particular software- package can be used. Users have traditionally aVQided t or completely refUsed to get involved with, any ""program develop­ ment"". The fear of operating various terminals and the fear that they will do sometbing wrong with the software account for some -user's refusal to get involved. Others feel that thi. i. a waste of their time. In order to reduce the apprehension on the part of the user, MIS professionals must offer an alterna­ tive that 1s both technically sound and easy to use.",Sugi-81-07 Kramer Kobayashi.pdf
"RDBUIIJ MDDElJNG OF DATA USING moe MATItIX E. Jamellihrner, West Vrrginia Uni~rslty Ronald n King"" Morni.nJlside College Anthony A. BillingS, West ViIgiI1ia. University INTROOOCfION Regrei3lon, dbcrimJni!J.t, and principal oompone:nt analyseR are .among OW: mod u&8ful statistical tools for modeling data, Unfortun:nely the diIItrlbution of estimatots, as olass.ica.Ily defined, are often highly sensitive to deviations from the assumed underlying population model. The major diffICUlty :is due to statistical Ol,ltlieJ1 whic1t are -cau&ed by long-tailed distribution~ or are dmply bad data observations. lncreasinsJ.y, sta.tisticians- are becoming concerned about the effectll of outlier:!. However. these data po-intI are often difficult to detect if the number of variJblello jointly oo~dered ~ gn:.ater than two or three. Robmt techniques currently being developed offer an objective approach to detennining alternative models whi-ch are far leu. sensitive to outlying (influential) dala poinu. Unfort~nately. lhe nece;swy computing algorithms for these andyses are not readily lvailable. ]n this paper we present two PROC MATRIX I""""gams which help to fill thl. gap. The e:otimaton available in the 00 programs are generalizations of maxirnwn likelihood estimaion. In the literature they are .cilled M- est!­ matan to- diltiriguish. them from' otner cluses of robust estimatDrs. Eo"" (1979) gLves a lucid description of the principal robust meth(ldologies. The :fnl program handles multiple regression models. Th.e 8econd performs prlndpal oomponent and .d.iacrimirlant analyses:. li'l both pt08rams various methods of estimation are employed u wcl1 as variQ'U.!S- mean. of llSSe!llllng the !rtabili1y of these estimators. ROBUST REGRESSION The robdst l'egressi()D program lus a mabl conhol mod\lle and thtce oomponent modules.. This- design gives the user grea.t flexibility in choosing the- desired options. The speclficatlon of OptiDIIS f a description of the program, and the available output",Sugi-81-08 Harner King Billings.pdf
"er the past two years of Anno­ tate~ Computer OUtput for a number of analysis of variance routines has ~evealed situations whe~e linear mcde~ calculations for unbalanced data are sometimes a littie surprising or, at best, some­ what difficult to understand.. Sucb situations are illustrated with (i) faults in ion al<!orithm for repar~t~rizing with E-restrictions, (Ii) surna of squares rOT E-restricted models, (iii) least squares means and (iv) estimating variance components. L IN'IRODUCTION The recent preparation of JUlnotated Computer output (e.g., Searle et 0.1., 1978, 1980) for. variety of statisticalcomputer packages bas highlighted c~~ain quirks in linear mode2 calcu­ lations with unbalanced data (date. having uneg,ua.l numbers of observations in the subclasses). Awareness of these quirks provide! a basis for understanding relationships among output ootained from processing the same data on different com­ puting procedures. This paper illustTates some of' ""these relationsh.ips. The illustl""atione al'e in terms 01' the two­ way cross-classification model, specified by two factors which shall be called rows- and col:wrlns. The model equation is either or where E(Y ijk ' is the expected value, OYer re~ peated sampling, of the k'th observa.tion, Y. ''1..1 "" 1J.fi."" in the i'th row and j'th column of the data. In both (1) and (2), ~ i • • general mean, 0:. i. the 1 effect due to the :i 'th row, for i ~ 1, ••• , a, and e j is the effect due to the jlth column, for j = 1, .~', b",Sugi-81-09 Searle.pdf
""" ~ , 'Hissing Data in Kutivar-iate Linear Models: A Comparison of SeveraI ""Sstimation Tec.hniqllB.s James D. Hn8king~ University of Nortb Carolina at Chapel Hill INTRODUCTION One of the DOst common problems statistics is the issue of how to in applied dll!""l with ""mls&lng d.ata."" I'he term ""missing d.ata"" helll been uRad to daseribe a vast aS80rtmsnt of topics, same of which are only distantly related. The c~ae considered he~e involves: 1. missing values only in the dependent variables with independent variables assumed to be fixed, 2. ~alueB missIng at random. and 3. normally distrIbuted dependent variablaa. SpecIfically, the topic ~f this paper Is a com­ parison of alternative techniques for estidatiQn in the General Linear Multivariate ~del (GLMM) af full rank and wItb normality assumptions When some of the dependent variable vectors have some co.ponents missing at random. The standard tecbnique for dealing wi~h missing data of this type is what will be called ··liBtwise de.1etian,"" that iB, discarding any observation containing one ot more missing values. When the data ar8 missing at random, using listwiae deletion will not bias the estimates of the GLMM parameters! and!. However, listwise delQtloa invol~as dis­ carding informatian (contained 1n the obsetved componente of the incomplete vectors) which-may be useful for improving the precision of the es­ timates and the power of testa. This study focuses on three other techniques which nave been proposed in the last 10 years. These appear to be the only eecbniques applicable to the situation described above which have been proposed on ana1ytic t rather than heuristic grounds. The th~ee techniques we~e each deBe~ibed in a pair of related a~tleles~ 1. Hocking and Smith (1968) and Hartley and Rocking (1971) 2. Yoodbury and Ha ••• lblad (1970) Bnd Orchard and Woodbury (1972) 3. Kleinba ... (1970, 1973) Each of these pairs of papers prQSent8 a dif­ ferent approacb to the problem, And demonstrates various desirable pr",Sugi-81-10 Hosking.pdf
"Services is the necessity to produce and present short COurses which acquaint users with a variety of topics. Often times, these courses must be prepared with a minimum amount of time and expense. Utilizing the color.graphic$ capability of a Compu­ color II microcomputer and a 35 mm slide camera expedites this process both in terms of effort and expenditures. The Compucolor II, utilized in a local terminal mode, permits the produc­ tion of multicolor screens by persons with little or no ·programming knowledge. The screens are saved on 5-1/4"" floppy discs which allows immediate recall to photograph all screens which have been prepared during the session. Recall at a later date for modification of informa­ tion or design (and subsequent rephoto­ graphing) is also possible. 555 During short course teaching, it has been found that color slides enhance the transfer of information. While the slides are currently utilized as support for instructor taught short courses, plans are underway to prepare cassette driven presentations. Thus, users will have an opportunity to receive fundamen­ tal information without requiring addi­ tional staff support. Also, users will be able to view and review material as their needs dictate rather than only during scheduled short courses. Short courses utilizing the color graphics slides have been assembled covering such topics as: keypunching, Job Control Language (JeL), SAS, SPSS, Harris VULCAN, ahd Introduction to the Computer Center.",Sugi-81-100 Peeples Ticknor.pdf
